filename,exposure,timestamp,algol_x,algol_y,ref1_x,ref1_y,ref2_x,ref2_y,ref3_x,ref3_y
algol_0.04_2025-02-28T15:03:34.551.fits,0.04,2025-02-28T15:03:34.551,1291.21573288332,680.097126841184,1354.62522757604,340.826593528075,1702.73581291939,588.549356043167,441.05086788886,641.009507169956
algol_0.04_2025-02-28T15:14:56.950.fits,0.04,2025-02-28T15:14:56.950,1292.5488741957,676.091349041722,1356.97009912912,343.384884917119,1705.62345530339,587.263250457545,442.237794066294,644.813840446821
algol_0.04_2025-02-28T15:18:15.389.fits,0.04,2025-02-28T15:18:15.389,1292.31801898909,676.736735570316,1351.20682093664,347.57009186796,1702.55298705069,579.488211567062,441.5237242897,647.742354416753
algol_0.04_2025-02-28T15:21:45.168.fits,0.04,2025-02-28T15:21:45.168,1291.60276377345,679.045402793192,1350.18079734981,339.244131240722,1701.34057031598,581.931010280904,441.224371065011,652.721285326134
algol_0.04_2025-02-28T15:25:40.806.fits,0.04,2025-02-28T15:25:40.806,1284.52951057086,665.139463766195,1348.46228706766,340.270328579797,1709.68467660995,576.631411614912,443.040168017404,655.139273604675
algol_0.04_2025-02-28T15:29:17.877.fits,0.04,2025-02-28T15:29:17.877,1286.44171735884,663.571642008577,1342.17310781365,339.584627149827,1700.18050478271,571.472079179128,444.383801025506,649.686282428736
algol_0.04_2025-02-28T15:32:21.331.fits,0.04,2025-02-28T15:32:21.331,1286.27371638453,664.015053919399,1348.07743064815,340.049240616972,1698.88019008,571.041819034948,441.640669949604,648.062520876375
algol_0.04_2025-02-28T15:34:11.996.fits,0.04,2025-02-28T15:34:11.996,1286.8597461771,662.75160220425,1352.67186173072,335.946508902749,1700.84942671821,571.616840845402,435.71415288999,644.743154627393
algol_0.04_2025-02-28T15:36:23.115.fits,0.04,2025-02-28T15:36:23.115,1286.27991149332,663.767483995998,1352.08604268364,335.244233840065,1692.90046345798,568.626811499632,435.24068740239,647.035406778455
algol_0.04_2025-02-28T15:38:11.824.fits,0.04,2025-02-28T15:38:11.824,1286.39230109078,664.762690622683,1351.71493954277,331.215251618365,1692.67689509429,569.501518521432,435.44980158632,649.218062011163
algol_0.04_2025-02-28T15:40:05.702.fits,0.04,2025-02-28T15:40:05.702,1286.72222484455,663.722229727032,1348.83227018057,333.883319080152,1692.76253169829,568.360196508004,435.836391033274,649.632272835636
algol_0.04_2025-02-28T15:43:04.855.fits,0.04,2025-02-28T15:43:04.855,1286.8811221838,663.961455658173,1350.28091743689,332.754467432922,1692.72844059356,568.867199037875,435.776165552679,652.173134302975
algol_0.04_2025-02-28T15:45:04.130.fits,0.04,2025-02-28T15:45:04.130,1286.58937491228,664.872931149897,1353.78344239875,335.446169086549,1692.6035449068,568.965106598186,435.158551556387,654.182910589914
algol_0.04_2025-02-28T15:46:55.225.fits,0.04,2025-02-28T15:46:55.225,1286.31665400687,664.536129059406,1352.29212205882,335.594951637499,1694.68831882988,563.223075468082,434.915594147344,655.335899281318
algol_0.04_2025-02-28T15:48:59.407.fits,0.04,2025-02-28T15:48:59.407,1287.20009100888,662.016031407155,1352.82416256585,336.029015770064,1694.93212790847,563.27694067935,435.850653492983,653.988364590566
algol_0.04_2025-02-28T15:51:47.716.fits,0.04,2025-02-28T15:51:47.716,1286.61162362868,665.270190696101,1352.51914405116,335.405434051767,1694.2307169531,563.653671332401,433.755503120312,654.580531189589
algol_0.04_2025-02-28T15:56:56.099.fits,0.04,2025-02-28T15:56:56.099,1287.41445327552,664.269812870807,1349.30862494504,340.337730128388,1694.79264723644,563.967322501511,433.493345791755,652.262499804493
algol_0.04_2025-02-28T15:59:07.486.fits,0.04,2025-02-28T15:59:07.486,1287.01572311027,665.172821819502,1341.9702295787,340.720417830005,1694.56725169161,563.684660320105,432.931359801062,653.66502142171
algol_0.04_2025-02-28T16:00:42.235.fits,0.04,2025-02-28T16:00:42.235,1286.71906302795,665.276400835104,1341.6894941982,340.035611182112,1694.75694305041,564.102537575016,433.716791303975,654.133094456799
algol_0.04_2025-02-28T16:02:08.068.fits,0.04,2025-02-28T16:02:08.068,1287.15126476264,664.999710774048,1330.22199935022,338.361025148718,1694.23464492058,563.222796516658,433.554082916222,653.591564767864
algol_0.04_2025-02-28T16:04:00.330.fits,0.04,2025-02-28T16:04:00.330,1286.64183227934,665.621158846669,1330.09162453139,338.8088555175,1694.79043485883,564.669687216144,428.384374755947,659.580405437613
algol_0.04_2025-02-28T16:05:41.989.fits,0.04,2025-02-28T16:05:41.989,1286.60689999603,665.619245833199,1330.55620399992,338.134130815303,1694.91891627964,564.569588358558,428.145493713853,656.439915441551
